stream_id,stream_name,run_id,step,percent,processed,f0_exact,n_t_estimate,relative_error
0,small_50pct,7,14,75.0,7500,4395,4427.89,0.007482
0,small_50pct,7,15,80.0,8000,4549,4575.30,0.005781
0,small_50pct,7,16,85.0,8500,4675,4702.72,0.005929
0,small_50pct,7,17,90.0,9000,4795,4828.45,0.006977
0,small_50pct,7,18,95.0,9500,4902,4914.61,0.002573
0,small_50pct,7,19,100.0,10000,5000,5008.02,0.001603
0,small_50pct,8,0,5.0,500,483,483.05,0.000107
0,small_50pct,8,1,10.0,1000,933,926.72,-0.006729
0,small_50pct,8,2,15.0,1500,1350,1351.22,0.000902
0,small_50pct,8,3,20.0,2000,1726,1725.78,-0.000126
0,small_50pct,8,4,25.0,2500,2086,2081.84,-0.001996
0,small_50pct,8,5,30.0,3000,2402,2397.11,-0.002036
0,small_50pct,8,6,35.0,3500,2713,2713.85,0.000313
0,small_50pct,8,7,40.0,4000,2984,2993.56,0.003203
0,small_50pct,8,8,45.0,4500,3235,3235.43,0.000132
0,small_50pct,8,9,50.0,5000,3467,3464.85,-0.000619
0,small_50pct,8,10,55.0,5500,3672,3671.24,-0.000207
0,small_50pct,8,11,60.0,6000,3880,3880.26,0.000068
0,small_50pct,8,12,65.0,6500,4062,4065.05,0.000750
0,small_50pct,8,13,70.0,7000,4223,4229.92,0.001639
0,small_50pct,8,14,75.0,7500,4385,4386.01,0.000230
0,small_50pct,8,15,80.0,8000,4532,4533.05,0.000231
0,small_50pct,8,16,85.0,8500,4670,4673.43,0.000735
0,small_50pct,8,17,90.0,9000,4791,4793.58,0.000538
0,small_50pct,8,18,95.0,9500,4909,4909.22,0.000044
0,small_50pct,8,19,100.0,10000,5000,4999.87,-0.000025
0,small_50pct,9,0,5.0,500,490,492.32,0.004742
0,small_50pct,9,1,10.0,1000,915,921.43,0.007029
0,small_50pct,9,2,15.0,1500,1328,1331.68,0.002773
0,small_50pct,9,3,20.0,2000,1716,1716.90,0.000522
0,small_50pct,9,4,25.0,2500,2082,2094.33,0.005923
0,small_50pct,9,5,30.0,3000,2415,2430.71,0.006507
0,small_50pct,9,6,35.0,3500,2725,2742.20,0.006311
0,small_50pct,9,7,40.0,4000,2997,3011.57,0.004863
0,small_50pct,9,8,45.0,4500,3270,3283.01,0.003979
0,small_50pct,9,9,50.0,5000,3513,3525.50,0.003560
0,small_50pct,9,10,55.0,5500,3730,3752.77,0.006104
0,small_50pct,9,11,60.0,6000,3930,3953.93,0.006088
0,small_50pct,9,12,65.0,6500,4108,4121.54,0.003295
0,small_50pct,9,13,70.0,7000,4265,4277.89,0.003022
0,small_50pct,9,14,75.0,7500,4417,4427.89,0.002464
0,small_50pct,9,15,80.0,8000,4560,4562.08,0.000457
0,small_50pct,9,16,85.0,8500,4699,4694.73,-0.000909
0,small_50pct,9,17,90.0,9000,4805,4794.92,-0.002098
0,small_50pct,9,18,95.0,9500,4905,4890.34,-0.002990
